Pieza;Acabado;Mes;Grabado;SKU que devuelve Supabase;En el Excel
Collar Esencia;oro;;no;CDNN067-2;sí
Collar Esencia;oro;;sí;CDNN067-2 + diaoke;sí
Pulsera Dos Almas;oro;;no;YS14924D0W0;sí
Pulsera Mi Cielo;oro;;no;YS15777D0W0-KZ;sí
Brazalete Eterno;oro;;no;FZ28329D0W0-KZ;sí
Pulsera Mi Cielo;oro;;sí;YS15777D0W0-KZ;sí
Brazalete Eterno;oro;;sí;FZ28329D0W0-KZ;sí
Collar Destino;oro;enero;no;XX49472D0W1;sí
Collar Destino;oro;febrero;no;XX49472D0W2;sí
Collar Destino;oro;marzo;no;XX49472D0W3;sí
Collar Destino;oro;abril;no;XX49472D0W4;sí
Collar Destino;oro;mayo;no;XX49472D0W5;sí
Collar Destino;oro;junio;no;XX49472D0W6;sí
Collar Destino;oro;julio;no;XX49472D0W7;sí
Collar Destino;oro;agosto;no;XX49472D0W8;sí
Collar Destino;oro;septiembre;no;XX49472D0W9;sí
Collar Destino;oro;octubre;no;XX49472D0W10;sí
Collar Destino;oro;noviembre;no;XX49472D0W11;sí
Collar Destino;oro;diciembre;no;XX49472D0W12;sí
Collar Esencia;plata;;no;CDNN067-1;sí
Collar Esencia;plata;;sí;CDNN067-1 + diaoke;sí
Pulsera Dos Almas;plata;;no;YS14924A0W0;sí
Pulsera Mi Cielo;plata;;no;YS15777A0W0-KZ;sí
Brazalete Eterno;plata;;no;FZ28329A0W0-KZ;sí
Pulsera Mi Cielo;plata;;sí;YS15777A0W0-KZ;sí
Brazalete Eterno;plata;;sí;FZ28329A0W0-KZ;sí
Collar Destino;plata;enero;no;XX49472A0W1;sí
Collar Destino;plata;febrero;no;XX49472A0W2;sí
Collar Destino;plata;marzo;no;XX49472A0W3;sí
Collar Destino;plata;abril;no;XX49472A0W4;sí
Collar Destino;plata;mayo;no;XX49472A0W5;sí
Collar Destino;plata;junio;no;XX49472A0W6;sí
Collar Destino;plata;julio;no;XX49472A0W7;sí
Collar Destino;plata;agosto;no;XX49472A0W8;sí
Collar Destino;plata;septiembre;no;XX49472A0W9;sí
Collar Destino;plata;octubre;no;XX49472A0W10;sí
Collar Destino;plata;noviembre;no;XX49472A0W11;sí
Collar Destino;plata;diciembre;no;XX49472A0W12;sí
Kit El Pedacito de Nosotros;collar oro / pulsera oro;;no;CDNN067-2 + YS14924D0W0;sí
Kit El Pedacito de Nosotros;collar oro / pulsera oro;;sí;CDNN067-2 + YS14924D0W0 + diaoke;sí
Kit Mi Consentida;collar oro / pulsera oro;enero;sí;XX49472D0W1 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;febrero;sí;XX49472D0W2 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;marzo;sí;XX49472D0W3 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;abril;sí;XX49472D0W4 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;mayo;sí;XX49472D0W5 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;junio;sí;XX49472D0W6 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;julio;sí;XX49472D0W7 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;agosto;sí;XX49472D0W8 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;septiembre;sí;XX49472D0W9 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;octubre;sí;XX49472D0W10 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;noviembre;sí;XX49472D0W11 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera oro;diciembre;sí;XX49472D0W12 + YS15777D0W0-KZ;sí
Kit El Pedacito de Nosotros;collar oro / pulsera plata;;no;CDNN067-2 + YS14924A0W0;sí
Kit El Pedacito de Nosotros;collar oro / pulsera plata;;sí;CDNN067-2 + YS14924A0W0 + diaoke;sí
Kit Mi Consentida;collar oro / pulsera plata;enero;sí;XX49472D0W1 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;febrero;sí;XX49472D0W2 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;marzo;sí;XX49472D0W3 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;abril;sí;XX49472D0W4 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;mayo;sí;XX49472D0W5 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;junio;sí;XX49472D0W6 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;julio;sí;XX49472D0W7 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;agosto;sí;XX49472D0W8 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;septiembre;sí;XX49472D0W9 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;octubre;sí;XX49472D0W10 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;noviembre;sí;XX49472D0W11 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar oro / pulsera plata;diciembre;sí;XX49472D0W12 + YS15777A0W0-KZ;sí
Kit El Pedacito de Nosotros;collar plata / pulsera oro;;no;CDNN067-1 + YS14924D0W0;sí
Kit El Pedacito de Nosotros;collar plata / pulsera oro;;sí;CDNN067-1 + YS14924D0W0 + diaoke;sí
Kit Mi Consentida;collar plata / pulsera oro;enero;sí;XX49472A0W1 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;febrero;sí;XX49472A0W2 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;marzo;sí;XX49472A0W3 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;abril;sí;XX49472A0W4 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;mayo;sí;XX49472A0W5 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;junio;sí;XX49472A0W6 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;julio;sí;XX49472A0W7 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;agosto;sí;XX49472A0W8 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;septiembre;sí;XX49472A0W9 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;octubre;sí;XX49472A0W10 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;noviembre;sí;XX49472A0W11 + YS15777D0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera oro;diciembre;sí;XX49472A0W12 + YS15777D0W0-KZ;sí
Kit El Pedacito de Nosotros;collar plata / pulsera plata;;no;CDNN067-1 + YS14924A0W0;sí
Kit El Pedacito de Nosotros;collar plata / pulsera plata;;sí;CDNN067-1 + YS14924A0W0 + diaoke;sí
Kit Mi Consentida;collar plata / pulsera plata;enero;sí;XX49472A0W1 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;febrero;sí;XX49472A0W2 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;marzo;sí;XX49472A0W3 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;abril;sí;XX49472A0W4 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;mayo;sí;XX49472A0W5 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;junio;sí;XX49472A0W6 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;julio;sí;XX49472A0W7 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;agosto;sí;XX49472A0W8 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;septiembre;sí;XX49472A0W9 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;octubre;sí;XX49472A0W10 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;noviembre;sí;XX49472A0W11 + YS15777A0W0-KZ;sí
Kit Mi Consentida;collar plata / pulsera plata;diciembre;sí;XX49472A0W12 + YS15777A0W0-KZ;sí
